Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Fatal.Serious,Plane.Type
20161229X15542,Accident,GAA17CA104,2016-12-24,"Palm Coast, FL",United States,Non-Fatal,Airplane,N1289Y,CESSNA,172,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 172
20161230X95149,Incident,DCA17WA048,2016-12-25,"Addis Ababa, Ethiopia",Ethiopia,,Airplane,SU-GEA,BOEING,737,No,NUSC,0.0,0.0,0.0,0.0,0.0,BOEING 737
20161227X03229,Accident,ERA17FA073,2016-12-26,"Gatlinburg, TN",United States,Fatal,Airplane,N1839X,CESSNA,182,No,091,3.0,0.0,0.0,0.0,3.0,CESSNA 182
20161227X00453,Accident,ERA17LA075,2016-12-27,"Bridgeport, AL",United States,Non-Fatal,Airplane,N3772F,CESSNA,172,No,091,0.0,1.0,1.0,0.0,1.0,CESSNA 172
20161227X90219,Accident,DCA17WA047,2016-12-27,"Dabolim, Goa, India",India,Non-Fatal,Airplane,VT-JBG,BOEING,737,No,NUSC,0.0,10.0,0.0,151.0,10.0,BOEING 737
20161228X11654,Accident,WPR17LA042,2016-12-27,"Willows, CA",United States,Non-Fatal,Airplane,N602L,AIR TRACTOR INC,AT 602,No,091,0.0,0.0,0.0,1.0,0.0,AIR TRACTOR INC AT 602
20161229X03355,Accident,ERA17WA076,2016-12-28,"Santa Juana, Chile",Chile,Fatal,Airplane,CC-CCJ,AIR TRACTOR,AT802,No,,1.0,0.0,0.0,0.0,1.0,AIR TRACTOR AT802
20161229X93022,Accident,CEN17LA062,2016-12-28,"Piedmont, MO",United States,Non-Fatal,Airplane,N5499Z,PIPER,PA22,No,091,0.0,0.0,0.0,1.0,0.0,PIPER PA22
20170130X43816,Accident,CEN17LA090,2016-12-28,"Prairie Du Sac, WI",United States,Non-Fatal,Airplane,N6941X,CESSNA,172B,No,091,0.0,0.0,0.0,2.0,0.0,CESSNA 172B
20170330X01440,Incident,DCA17WA086,2016-12-29,"Bucharest, Romania",Romania,,Airplane,YR-BAR,BOEING,737,No,129,0.0,0.0,0.0,0.0,0.0,BOEING 737
20161230X44407,Accident,GAA17CA105,2016-12-29,"Nashville, TN",United States,Non-Fatal,Airplane,N301BK,PIPER,PA 46,No,091,0.0,0.0,0.0,3.0,0.0,PIPER PA 46
20170627X03851,Accident,DCA17WA146,2016-12-29,"Georgetown, Guyana",Guyana,,Airplane,9Y-SXM,BOEING,737,No,,0.0,0.0,0.0,0.0,0.0,BOEING 737
20161230X43442,Accident,ERA17LA077,2016-12-30,"Dunnellon, FL",United States,Non-Fatal,Airplane,N6627U,BEECH,76,No,091,0.0,0.0,0.0,2.0,0.0,BEECH 76
20161230X55950,Accident,WPR17FA044,2016-12-30,"Dabob, WA",United States,Fatal,Airplane,N52388,CESSNA,182,No,091,4.0,0.0,0.0,0.0,4.0,CESSNA 182
20161230X91745,Accident,CEN17FA072,2016-12-30,"Cleveland, OH",United States,Fatal,Airplane,N614SB,CESSNA,525,No,091,6.0,0.0,0.0,0.0,6.0,CESSNA 525
20170111X63504,Incident,DCA17WA056,2016-12-30,"Paris, France",France,,Airplane,CN-ROJ,BOEING,737,No,NUSC,0.0,0.0,0.0,0.0,0.0,BOEING 737
20161231X24638,Accident,CEN17FA063,2016-12-31,"McKinney, TX",United States,Fatal,Airplane,N4407T,PIPER,PA28R,No,091,3.0,0.0,0.0,0.0,3.0,PIPER PA28R
20161231X32244,Accident,CEN17FA064,2016-12-31,"Vienna, IL",United States,Fatal,Airplane,N2806R,PIPER,PA 28R-200,No,091,4.0,0.0,0.0,0.0,4.0,PIPER PA 28R-200
20170104X40138,Accident,GAA17CA106,2016-12-31,"Palouse, WA",United States,Non-Fatal,Airplane,N260BD,MAULE,M7,No,091,0.0,1.0,0.0,0.0,1.0,MAULE M7
20170105X04225,Accident,WPR17FAMS2,2016-12-31,"Open water, HI",United States,Fatal,Airplane,N174LL,CESSNA,172M,No,091,3.0,0.0,0.0,0.0,3.0,CESSNA 172M
20170103X14851,Accident,WPR17FA045,2017-01-02,"Payson, AZ",United States,Fatal,Airplane,N272EF,CESSNA,T210K,No,091,4.0,0.0,0.0,0.0,4.0,CESSNA T210K
20170112X50410,Accident,ERA17WA086,2017-01-05,"Tangara da Serra, Brazil",Brazil,Fatal,Airplane,PR-GRS,CESSNA,172,No,,2.0,0.0,2.0,0.0,2.0,CESSNA 172
20170111X63040,Incident,DCA17WA055,2017-01-06,"Brisbane, Australia",Australia,,Airplane,VH-VUH,BOEING,737,No,NUSC,0.0,0.0,0.0,0.0,0.0,BOEING 737
20170119X13551,Accident,GAA17CA119,2017-01-06,"Lakeport, CA",United States,,Airplane,N8148T,CESSNA,175,No,091,0.0,0.0,0.0,0.0,0.0,CESSNA 175
20170124X60408,Accident,CEN17LA082,2017-01-06,"Hobart, IN",United States,Non-Fatal,Airplane,N80374,CESSNA,172M,No,091,0.0,0.0,1.0,0.0,0.0,CESSNA 172M
20170109X24157,Accident,WPR17LA051,2017-01-07,"Jackson, CA",United States,Non-Fatal,Airplane,N71RC,CESSNA,421C,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 421C
